timeProcessed,filename,score,detect
16-06-2024_22:05:54,./image/16-06-2024_22:05:53.jpg,0,0
16-06-2024_22:05:59,./image/16-06-2024_22:05:58.jpg,0.6694516390562057,2
16-06-2024_22:06:00,./image/16-06-2024_22:05:59.jpg,0.9433003067970276,1
16-06-2024_22:06:05,./image/16-06-2024_22:06:04.jpg,0,0
16-06-2024_22:06:06,./image/16-06-2024_22:06:05.jpg,0,0
16-06-2024_22:06:11,./image/16-06-2024_22:06:10.jpg,0,0
16-06-2024_22:06:12,./image/16-06-2024_22:06:11.jpg,0,0
16-06-2024_22:06:17,./image/16-06-2024_22:06:16.jpg,0,0
16-06-2024_22:06:18,./image/16-06-2024_22:06:18.jpg,0,0
16-06-2024_22:06:23,./image/16-06-2024_22:06:22.jpg,0,0
16-06-2024_22:06:24,./image/16-06-2024_22:06:24.jpg,0,0
16-06-2024_22:06:29,./image/16-06-2024_22:06:28.jpg,0,0
16-06-2024_22:06:31,./image/16-06-2024_22:06:30.jpg,0,0
16-06-2024_22:06:35,./image/16-06-2024_22:06:34.jpg,0,0
16-06-2024_22:06:36,./image/16-06-2024_22:06:36.jpg,0,0
16-06-2024_22:06:41,./image/16-06-2024_22:06:40.jpg,0,0
16-06-2024_22:06:43,./image/16-06-2024_22:06:42.jpg,0,0
16-06-2024_22:06:47,./image/16-06-2024_22:06:46.jpg,0,0
16-06-2024_22:06:49,./image/16-06-2024_22:06:48.jpg,0,0
16-06-2024_22:06:53,./image/16-06-2024_22:06:53.jpg,0,0
16-06-2024_22:06:55,./image/16-06-2024_22:06:54.jpg,0,0
16-06-2024_22:07:00,./image/16-06-2024_22:06:59.jpg,0,0
16-06-2024_22:07:01,./image/16-06-2024_22:07:00.jpg,0.6842206120491028,2
16-06-2024_22:07:06,./image/16-06-2024_22:07:05.jpg,0,0
16-06-2024_22:07:07,./image/16-06-2024_22:07:06.jpg,0.6943982839584351,2
16-06-2024_22:07:12,./image/16-06-2024_22:07:11.jpg,0.4667613208293915,1
16-06-2024_22:07:13,./image/16-06-2024_22:07:12.jpg,0,0
16-06-2024_22:07:18,./image/16-06-2024_22:07:17.jpg,0,0
16-06-2024_22:07:19,./image/16-06-2024_22:07:18.jpg,0,0
16-06-2024_22:07:24,./image/16-06-2024_22:07:23.jpg,0,0
16-06-2024_22:07:25,./image/16-06-2024_22:07:24.jpg,0,0
16-06-2024_22:07:30,./image/16-06-2024_22:07:29.jpg,0,0
16-06-2024_22:07:31,./image/16-06-2024_22:07:31.jpg,0.9284635782241821,1
16-06-2024_22:07:36,./image/16-06-2024_22:07:35.jpg,0,0
16-06-2024_22:07:37,./image/16-06-2024_22:07:37.jpg,0.8950050473213196,1
16-06-2024_22:07:42,./image/16-06-2024_22:07:41.jpg,0,0
16-06-2024_22:07:43,./image/16-06-2024_22:07:43.jpg,0,0
16-06-2024_22:07:48,./image/16-06-2024_22:07:47.jpg,0,0
16-06-2024_22:07:54,./image/16-06-2024_22:07:53.jpg,0.7979720234870911,1
16-06-2024_22:07:55,./image/16-06-2024_22:07:55.jpg,0,0
16-06-2024_22:08:02,./image/16-06-2024_22:08:01.jpg,0,0
16-06-2024_22:08:08,./image/16-06-2024_22:08:07.jpg,0,0
16-06-2024_22:08:12,./image/16-06-2024_22:08:12.jpg,0,0
16-06-2024_22:08:14,./image/16-06-2024_22:08:13.jpg,0,0
16-06-2024_22:08:18,./image/16-06-2024_22:08:18.jpg,0,0
16-06-2024_22:08:20,./image/16-06-2024_22:08:19.jpg,0,0
16-06-2024_22:08:24,./image/16-06-2024_22:08:24.jpg,0,0
16-06-2024_22:08:26,./image/16-06-2024_22:08:25.jpg,0,0
16-06-2024_22:08:30,./image/16-06-2024_22:08:30.jpg,0,0
16-06-2024_22:08:32,./image/16-06-2024_22:08:31.jpg,0.8972970247268677,1
16-06-2024_22:08:37,./image/16-06-2024_22:08:36.jpg,0.9385685324668884,1
16-06-2024_22:08:43,./image/16-06-2024_22:08:42.jpg,0,0
16-06-2024_22:08:44,./image/16-06-2024_22:08:43.jpg,0.9205697774887085,1
16-06-2024_22:08:49,./image/16-06-2024_22:08:48.jpg,0,0
16-06-2024_22:08:50,./image/16-06-2024_22:08:49.jpg,0,0
16-06-2024_22:08:55,./image/16-06-2024_22:08:54.jpg,0,0
16-06-2024_22:08:56,./image/16-06-2024_22:08:56.jpg,0,0
16-06-2024_22:09:01,./image/16-06-2024_22:09:00.jpg,0,0
